timestamp,type,proxid,floor,zone,office,department
5/31/2016 7:39,fixed-prox,acalzas001,1,1,0,Engineering
5/31/2016 7:40,fixed-prox,acalzas001,1,4,0,Engineering
5/31/2016 7:41,fixed-prox,acalzas001,2,4,0,Engineering
5/31/2016 7:41,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 7:41,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 8:49,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 8:59,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 10:02,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 10:02,fixed-prox,acalzas001,2,7,0,Engineering
5/31/2016 10:14,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 10:14,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 10:26,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 10:26,fixed-prox,acalzas001,2,6,0,Engineering
5/31/2016 11:31,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 11:31,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 11:57,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 11:58,fixed-prox,acalzas001,2,4,0,Engineering
5/31/2016 11:59,fixed-prox,acalzas001,1,4,0,Engineering
5/31/2016 11:59,fixed-prox,acalzas001,1,1,0,Engineering
5/31/2016 11:59,fixed-prox,acalzas001,1,2,0,Engineering
5/31/2016 13:05,fixed-prox,acalzas001,1,1,0,Engineering
5/31/2016 13:06,fixed-prox,acalzas001,1,4,0,Engineering
5/31/2016 13:06,fixed-prox,acalzas001,2,4,0,Engineering
5/31/2016 13:06,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 13:06,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 13:55,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 13:55,fixed-prox,acalzas001,2,6,0,Engineering
5/31/2016 14:47,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 14:47,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 15:24,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 15:24,fixed-prox,acalzas001,2,7,0,Engineering
5/31/2016 15:36,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 15:36,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 16:03,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 16:17,fixed-prox,acalzas001,2,2,1,Engineering
5/31/2016 17:06,fixed-prox,acalzas001,2,1,0,Engineering
5/31/2016 17:07,fixed-prox,acalzas001,2,4,0,Engineering
5/31/2016 17:08,fixed-prox,acalzas001,1,4,0,Engineering
5/31/2016 17:08,fixed-prox,acalzas001,1,1,0,Engineering
6/1/2016 7:43,fixed-prox,acalzas001,1,1,0,Engineering
6/1/2016 7:45,fixed-prox,acalzas001,1,4,0,Engineering
6/1/2016 7:45,fixed-prox,acalzas001,2,4,0,Engineering
6/1/2016 7:45,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 7:46,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 8:55,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 9:05,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 9:53,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 9:53,fixed-prox,acalzas001,2,7,0,Engineering
6/1/2016 10:06,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 10:06,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 10:27,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 10:27,fixed-prox,acalzas001,2,6,0,Engineering
6/1/2016 11:19,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 11:19,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 11:50,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 11:50,fixed-prox,acalzas001,2,4,0,Engineering
6/1/2016 11:51,fixed-prox,acalzas001,1,4,0,Engineering
6/1/2016 11:51,fixed-prox,acalzas001,1,1,0,Engineering
6/1/2016 11:51,fixed-prox,acalzas001,1,2,0,Engineering
6/1/2016 12:45,fixed-prox,acalzas001,1,1,0,Engineering
6/1/2016 12:46,fixed-prox,acalzas001,1,4,0,Engineering
6/1/2016 12:46,fixed-prox,acalzas001,2,4,0,Engineering
6/1/2016 12:46,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 12:46,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 13:57,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 13:57,fixed-prox,acalzas001,2,6,0,Engineering
6/1/2016 14:52,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 14:52,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 15:21,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 15:21,fixed-prox,acalzas001,2,7,0,Engineering
6/1/2016 15:30,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 15:30,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 16:09,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 16:18,fixed-prox,acalzas001,2,2,1,Engineering
6/1/2016 17:10,fixed-prox,acalzas001,2,1,0,Engineering
6/1/2016 17:11,fixed-prox,acalzas001,2,4,0,Engineering
6/1/2016 17:12,fixed-prox,acalzas001,1,4,0,Engineering
6/1/2016 17:12,fixed-prox,acalzas001,1,1,0,Engineering
6/2/2016 7:40,fixed-prox,acalzas001,1,1,0,Engineering
6/2/2016 7:41,fixed-prox,acalzas001,1,4,0,Engineering
6/2/2016 7:42,fixed-prox,acalzas001,2,4,0,Engineering
6/2/2016 7:42,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 7:42,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 9:02,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 9:09,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 10:06,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 10:06,fixed-prox,acalzas001,2,7,0,Engineering
6/2/2016 10:14,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 10:14,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 10:30,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 10:30,fixed-prox,acalzas001,2,6,0,Engineering
6/2/2016 11:34,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 11:34,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 11:45,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 11:46,fixed-prox,acalzas001,2,4,0,Engineering
6/2/2016 11:47,fixed-prox,acalzas001,1,4,0,Engineering
6/2/2016 11:47,fixed-prox,acalzas001,1,1,0,Engineering
6/2/2016 11:47,fixed-prox,acalzas001,1,2,0,Engineering
6/2/2016 12:54,fixed-prox,acalzas001,1,1,0,Engineering
6/2/2016 12:54,fixed-prox,acalzas001,1,4,0,Engineering
6/2/2016 12:55,fixed-prox,acalzas001,2,4,0,Engineering
6/2/2016 12:55,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 12:55,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 13:57,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 13:57,fixed-prox,acalzas001,2,6,0,Engineering
6/2/2016 14:55,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 14:55,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 15:36,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 15:36,fixed-prox,acalzas001,2,7,0,Engineering
6/2/2016 15:45,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 15:45,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 15:53,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 16:06,fixed-prox,acalzas001,2,2,1,Engineering
6/2/2016 16:42,fixed-prox,acalzas001,2,1,0,Engineering
6/2/2016 16:43,fixed-prox,acalzas001,2,4,0,Engineering
6/2/2016 16:44,fixed-prox,acalzas001,1,4,0,Engineering
6/2/2016 16:44,fixed-prox,acalzas001,1,1,0,Engineering
6/3/2016 7:18,fixed-prox,acalzas001,1,1,0,Engineering
6/3/2016 7:20,fixed-prox,acalzas001,1,4,0,Engineering
6/3/2016 7:20,fixed-prox,acalzas001,2,4,0,Engineering
6/3/2016 7:20,fixed-prox,acalzas001,2,1,0,Engineering
6/3/2016 7:21,fixed-prox,acalzas001,2,2,1,Engineering
6/3/2016 9:03,fixed-prox,acalzas001,2,1,0,Engineering
